"","Date","Month","Day","Year","Time"
"1","9/12/18","9","12","18","7:35"
"2","9/10/18","9","10","18","9:12"
"3","9/7/18","9","7","18","12:06"
"4","9/6/18","9","6","18","11:32"
"5","9/5/18","9","5","18","15:49"
"6","8/27/18","8","27","18","11:34"
"7","8/10/18","8","10","18","7:40"
"8","8/9/18","8","9","18","7:37"
"9","8/8/18","8","8","18","8:30"
"10","8/6/18","8","6","18","13:38"
"11","8/3/18","8","3","18","6:58"
"12","8/2/18","8","2","18","7:48"
"13","8/1/18","8","1","18","7:46"
"14","7/31/18","7","31","18","7:44"
"15","7/30/18","7","30","18","7:57"
"16","7/27/18","7","27","18","7:36"
"17","7/26/18","7","26","18","7:01"
"18","7/25/18","7","25","18","6:51"
"19","7/24/18","7","24","18","6:49"
"20","7/23/18","7","23","18","7:09"
"21","7/20/18","7","20","18","7:00"
"22","7/19/18","7","19","18","7:09"
"23","7/18/18","7","18","18","7:42"
"24","7/17/18","7","17","18","7:28"
"25","7/16/18","7","16","18","7:47"
"26","7/13/18","7","13","18","7:36"
"27","7/11/18","7","11","18","7:47"
"28","7/10/18","7","10","18","7:52"
"29","7/9/18","7","9","18","7:42"
"30","7/6/18","7","6","18","14:29"
"31","7/5/18","7","5","18","8:46"
"32","7/3/18","7","3","18","7:00"
"33","7/2/18","7","2","18","7:18"
"34","6/29/18","6","29","18","7:17"
"35","6/27/18","6","27","18","7:17"
"36","6/26/18","6","26","18","7:47"
"37","6/25/18","6","25","18","8:24"
"38","6/22/18","6","22","18","7:56"
"39","6/21/18","6","21","18","7:25"
"40","6/20/18","6","20","18","7:18"
"41","6/19/18","6","19","18","8:14"
"42","6/18/18","6","18","18","8:48"
"43","6/11/18","6","11","18","10:59"
"44","6/7/18","6","7","18","9:07"
"45","6/5/18","6","5","18","14:06"
"46","6/1/18","6","1","18","12:39"
"47","5/31/18","5","31","18","7:36"
"48","5/30/18","5","30","18","7:34"
"49","5/29/18","5","29","18","7:42"
"50","5/25/18","5","25","18","8:08"
"51","5/24/18","5","24","18","7:57"
"52","5/23/18","5","23","18","7:39"
"53","5/22/18","5","22","18","7:14"
"54","5/17/18","5","17","18","8:00"
"55","5/16/18","5","16","18","8:07"
"56","5/15/18","5","15","18","7:49"
"57","5/11/18","5","11","18","13:18"
"58","5/10/18","5","10","18","7:43"
"59","5/9/18","5","9","18","7:38"
"60","5/8/18","5","8","18","7:56"
"61","5/7/18","5","7","18","7:54"
"62","5/4/18","5","4","18","14:05"
"63","5/3/18","5","3","18","7:56"
"64","5/2/18","5","2","18","8:54"
"65","5/1/18","5","1","18","14:23"
"66","4/27/18","4","27","18","12:06"
"67","4/26/18","4","26","18","14:34"
"68","4/25/18","4","25","18","17:57"
"69","4/24/18","4","24","18","14:30"
"70","4/20/18","4","20","18","13:30"
"71","4/19/18","4","19","18","14:33"
"72","4/18/18","4","18","18","17:50"
"73","4/17/18","4","17","18","14:32"
"74","4/12/18","4","12","18","14:54"
"75","4/11/18","4","11","18","17:48"
"76","4/10/18","4","10","18","14:51"
"77","4/6/18","4","6","18","13:31"
"78","4/5/18","4","5","18","14:45"
"79","4/4/18","4","4","18","17:58"
"80","4/3/18","4","3","18","14:29"
"81","3/28/18","3","28","18","18:01"
"82","3/27/18","3","27","18","14:20"
"83","3/22/18","3","22","18","14:53"
"84","3/19/18","3","19","18","12:49"
"85","3/1/18","3","1","18","17:47"
"86","2/28/18","2","28","18","13:02"
"87","2/20/18","2","20","18","19:12"
"88","1/30/18","1","30","18","17:23"
"89","1/25/18","1","25","18","17:59"
"90","1/24/18","1","24","18","16:34"
"91","1/23/18","1","23","18","18:02"
"92","1/17/18","1","17","18","15:02"
"93","1/10/18","1","10","18","15:39"
"94","1/9/18","1","9","18","18:00"
"95","1/5/18","1","5","18","15:25"
"96","1/3/18","1","3","18","14:25"
"97",NA,NA,NA,NA,NA
"98",NA,NA,NA,NA,NA
"99",NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,NA
"101",NA,NA,NA,NA,NA
"102",NA,NA,NA,NA,NA
"103",NA,NA,NA,NA,NA
"104",NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA
"106",NA,NA,NA,NA,NA
"107",NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,NA
"109",NA,NA,NA,NA,NA
"110",NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA
"112",NA,NA,NA,NA,NA
"113",NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA
"116",NA,NA,NA,NA,NA
"117",NA,NA,NA,NA,NA
"118",NA,NA,NA,NA,NA
"119",NA,NA,NA,NA,NA
"120",NA,NA,NA,NA,NA
"121",NA,NA,NA,NA,NA
"122",NA,NA,NA,NA,NA
"123",NA,NA,NA,NA,NA
"124",NA,NA,NA,NA,NA
"125",NA,NA,NA,NA,NA
"126",NA,NA,NA,NA,NA
"127",NA,NA,NA,NA,NA
"128",NA,NA,NA,NA,NA
"129",NA,NA,NA,NA,NA
"130",NA,NA,NA,NA,NA
"131",NA,NA,NA,NA,NA
"132",NA,NA,NA,NA,NA
"133",NA,NA,NA,NA,NA
"134",NA,NA,NA,NA,NA
"135",NA,NA,NA,NA,NA
"136",NA,NA,NA,NA,NA
"137",NA,NA,NA,NA,NA
"138",NA,NA,NA,NA,NA
"139",NA,NA,NA,NA,NA
"140",NA,NA,NA,NA,NA
"141",NA,NA,NA,NA,NA
"142",NA,NA,NA,NA,NA
"143",NA,NA,NA,NA,NA
"144",NA,NA,NA,NA,NA
"145",NA,NA,NA,NA,NA
"146",NA,NA,NA,NA,NA
"147",NA,NA,NA,NA,NA
