Date,Month,Day,Year,Time_Numerical,Time
2015-12-30,12,30,15,0.62013889,14:53
2015-12-26,12,26,15,0.64236111,15:25
2015-12-18,12,18,15,0.55138889,13:14
2015-12-17,12,17,15,0.55069444,13:13
2015-12-16,12,16,15,0.51736111,12:25
2015-12-15,12,15,15,0.52222222,12:32
2015-12-14,12,14,15,0.54236111,13:01
2015-12-13,12,13,15,0.75069444,18:01
2015-12-11,12,11,15,0.52569444,12:37
2015-12-09,12,9,15,0.48888889,11:44
2015-12-08,12,8,15,0.75694444,18:10
2015-12-07,12,7,15,0.54097222,12:59
2015-12-05,12,5,15,0.59861111,14:22
2015-12-03,12,3,15,0.58888889,14:08
2015-12-02,12,2,15,0.65833333,15:48
2015-12-01,12,1,15,0.77847222,18:41
2015-11-28,11,28,15,0.62013889,14:53
2015-11-24,11,24,15,0.59791667,14:21
2015-11-23,11,23,15,0.67430556,16:11
2015-11-20,11,20,15,0.90694444,21:46
2015-11-19,11,19,15,0.44930556,10:47
2015-11-16,11,16,15,0.85555556,20:32
2015-11-13,11,13,15,0.49444444,11:52
2015-11-10,11,10,15,0.88958333,21:21
2015-11-09,11,9,15,0.88055556,21:08
2015-11-08,11,8,15,0.84097222,20:11
2015-11-07,11,7,15,0.77152778,18:31
2015-11-05,11,5,15,0.63888889,15:20
2015-11-03,11,3,15,0.90902778,21:49
2015-11-02,11,2,15,0.89861111,21:34
2015-10-30,10,30,15,0.67777778,16:16
2015-10-28,10,28,15,0.79930556,19:11
2015-10-27,10,27,15,0.86805556,20:50
2015-10-26,10,26,15,0.88055556,21:08
2015-10-25,10,25,15,0.89583333,21:30
2015-10-24,10,24,15,0.61319444,14:43
2015-10-21,10,21,15,0.53333333,12:48
2015-10-19,10,19,15,0.46111111,11:04
2015-10-18,10,18,15,0.82986111,19:55
2015-10-14,10,14,15,0.46736111,11:13
2015-10-13,10,13,15,0.86666667,20:48
2015-10-12,10,12,15,0.48680556,11:41
2015-10-09,10,9,15,0.57152778,13:43
2015-10-07,10,7,15,0.52152778,12:31
2015-10-05,10,5,15,0.42013889,10:05
2015-10-04,10,4,15,0.48402778,11:37
2015-10-03,10,3,15,0.52222222,12:32
2015-09-30,9,30,15,0.83541667,20:03
2015-09-28,9,28,15,0.80138889,19:14
2015-09-26,9,26,15,0.76527778,18:22
2015-09-24,9,24,15,0.78402778,18:49
2015-09-23,9,23,15,0.51111111,12:16
2015-09-22,9,22,15,0.88819444,21:19
2015-09-21,9,21,15,0.52708333,12:39
2015-09-18,9,18,15,0.48472222,11:38
2015-09-16,9,16,15,0.77083333,18:30
2015-09-15,9,15,15,0.88958333,21:21
2015-09-14,9,14,15,0.75138889,18:02
2015-09-11,9,11,15,0.67847222,16:17
2015-09-09,9,9,15,0.50763889,12:11
2015-09-07,9,7,15,0.50694444,12:10
2015-09-05,9,5,15,0.56180556,13:29
2015-09-04,9,4,15,0.66875,16:03
2015-09-03,9,3,15,0.64027778,15:22
2015-06-10,6,10,15,0.69236111,16:37
2015-06-09,6,9,15,0.69166667,16:36
2015-06-08,6,8,15,0.59236111,14:13
2015-06-05,6,5,15,0.66041667,15:51
2015-05-27,5,27,15,0.64791667,15:33
2015-05-26,5,26,15,0.63888889,15:20
2015-05-20,5,20,15,0.85694444,20:34
2015-05-19,5,19,15,0.65416667,15:42
2015-05-18,5,18,15,0.76319444,18:19
2015-05-15,5,15,15,0.71805556,17:14
2015-05-14,5,14,15,0.71319444,17:07
2015-05-13,5,13,15,0.68541667,16:27
2015-05-12,5,12,15,0.92430556,22:11
2015-05-11,5,11,15,0.65138889,15:38
2015-05-08,5,8,15,0.5875,14:06
2015-05-04,5,4,15,0.62638889,15:02
2015-05-01,5,1,15,0.64444444,15:28
2015-04-30,4,30,15,0.92013889,22:05
2015-04-29,4,29,15,0.64861111,15:34
2015-04-28,4,28,15,0.625,15:00
2015-04-27,4,27,15,0.64652778,15:31
2015-04-26,4,26,15,0.78611111,18:52
2015-04-24,4,24,15,0.39722222,9:32
2015-04-23,4,23,15,0.66736111,16:01
2015-04-22,4,22,15,0.63819444,15:19
2015-04-21,4,21,15,0.64166667,15:24
2015-04-20,4,20,15,0.59027778,14:10
2015-04-19,4,19,15,0.82986111,19:55
2015-04-14,4,14,15,0.66805556,16:02
